WL	WW	HW	THW	THL	THH	THVOL	T2	T3	T4	FU	LABR	PR	LL	PS
10.98	3.23	3.88	3.36	5.03	3.81	64.53	4.18	4.17	3.55	1.29	0.86	0.72	1.5	58.8
5.01	1.53	1.82	1.3	1.93	1.55	3.89	1.69	1.65	1.53	0.58	0.5	0.37	0.47	27
8.92	2.54	2.86	2.28	3.57	2.62	21.31	2.58	2.55	2.43	0.86	0.61	0.51	1	41
8.42	2.32	2.8	2.29	3.48	2.66	21.24	2.04	2	1.91	0.84	0.63	0.5	0.96	44
6.47	1.99	2.24	1.7	2.64	1.98	9.02	1.92	1.86	1.76	0.69	0.48	0.43	0.67	37.7
7.19	2.16	2.63	1.9	3.18	2.36	14.24	2.4	2.36	2.26	0.82	0.64	0.55	0.91	43
7.28	2.02	2.6	2.14	3.24	2.46	17.06	2	2.02	1.94	0.82	0.67	0.57	0.9	45
7.85	2.56	2.64	1.9	3.04	2.3	13.55	2.64	2.58	2.44	0.87	0.72	0.55	0.79	35.4
7.97	2.47	2.76	2.06	3.11	2.34	15.4	2.46	2.43	2.31	0.86	0.77	0.56	0.8	33.5
6.79	2.26	2.53	1.97	2.99	2.28	13.43	2.04	2	1.93	0.8	0.59	0.53	0.81	36
6.82	2.08	2.45	1.77	2.8	2.15	10.61	2.3	2.25	2.17	0.85	0.66	0.52	0.76	36.5
8.74	2.68	3.2	2.38	3.73	2.83	25.12	2.81	2.72	2.52	1.03	0.76	0.62	0.96	40
6.76	2.34	2.03	1.5	2.29	1.76	5.42	2.08	2.08	2.02	0.69	0.6	0.5	0.69	27
5.72	2.02	1.92	1.44	2.25	1.83	5.72	1.35	1.37	1.27	0.64	0.56	0.46	0.6	27.5
7.41	2.47	2.12	1.53	2.63	2.06	8.35	1.9	1.95	1.87	0.72	0.63	0.5	0.71	32
7.57	2.53	2.17	1.55	2.69	2.08	8.77	1.94	1.94	1.84	0.78	0.67	0.52	0.69	32.5
7.62	2.43	2.39	1.73	2.93	2.33	11.81	1.44	1.4	1.25	0.76	0.72	0.54	0.7	31
8.91	2.66	2.78	2.32	3.37	2.79	21.78	2.17	2.19	2.05	0.92	0.86	0.59	0.84	29
8.36	2.5	2.56	1.97	2.97	2.34	13.76	2.24	2.22	2.11	0.94	0.83	0.61	0.86	31
7.64	2.33	2.51	1.97	3.08	2.37	14.38	1.56	1.59	1.52	0.9	0.81	0.58	0.88	31
10.18	3.89	4.4	3.92	5.73	4.61	106.35	5.41	5.33	4.85	1.86	1.7	1.01	1.4	33
10.17	3.74	4.35	4	5.95	4.57	112.36	5.02	4.39	3.7	1.76	1.65	1.02	1.34	37.3
6.68	2.63	3.41	2.4	3.41	2.64	21.61	4.22	4.12	3.8	0.7	0.47	0.45	0.84	31
6.67	2.58	3.38	2.6	3.71	2.88	27.78	4.4	4.4	3.85	0.66	0.51	0.42	0.76	33
8.8	3.32	4.3	3.46	4.6	3.5	55.71	5.28	5.2	5.1	0.79	0.66	0.48	1.1	39
8.16	3.16	3.82	2.9	3.84	3.22	35.86	4.58	4.48	4.27	0.75	0.52	0.49	1.05	35
7.27	2.83	3.46	2.7	3.71	2.71	27.11	4.25	4.1	3.44	1.01	0.66	0.61	1.39	32.5
10.5	3.55	4.44	3.66	6.33	5.13	146.06	5.26	4.73	3.94	1.81	1.68	1.11	1.46	52
4.7	1.48	1.5	1.04	1.67	1.41	2.45	1.29	1.65	1.62	0.59	0.7	0.54	0.41	16
4.58	1.54	1.47	1.14	1.71	1.41	2.75	1.55	1.69	1.59	0.59	0.49	0.31	0.42	15
3.69	1.14	1.42	0.97	1.43	1.22	1.69	0.8	1.11	1.1	0.62	0.49	0.29	0.38	15
4.59	1.32	1.52	1.13	1.92	1.54	3.73	1.25	1.58	1.51	0.71	0.57	0.37	0.4	15
7.96	2.56	2.8	2.03	3.34	2.45	16.67	2.36	2.32	2.27	0.97	0.79	0.54	0.77	34.3
6.95	2.24	2.6	1.92	3.07	2.25	13.26	2	2.05	2.03	0.86	0.69	0.49	0.71	30
7.85	2.59	2.32	1.53	2.81	2.09	9	0.98	1.23	1.09	0.82	0.55	0.43	0.77	33.5
5.08	1.88	1.96	1.48	2.32	1.72	5.92	2.26	2.25	2.18	0.75	0.66	0.48	0.46	17
5.02	1.93	2.01	1.55	2.38	1.78	6.57	2.08	2.06	1.98	0.8	0.72	0.46	0.52	19
4.26	1.65	1.86	1.5	2.26	1.69	5.73	2.04	2.02	1.82	0.82	0.74	0.45	0.47	20
4.69	1.84	1.94	1.55	2.48	1.81	6.93	2.23	2.23	2.19	0.76	0.7	0.44	0.58	19
4.19	1.65	1.8	1.42	2.27	1.65	5.33	1.8	1.79	1.71	0.66	0.61	0.38	0.48	18.7
4.25	1.68	1.86	1.53	2.26	1.73	5.98	1.93	1.93	1.87	0.76	0.73	0.48	0.46	18
6.69	2.51	2.55	1.93	3.25	2.42	15.18	2.23	2.25	2.16	1.03	0.96	0.56	0.72	26
8.52	2.93	3.99	3.05	4.45	3.5	47.5	4.28	3.88	3.08	1.83	1.7	1.3	0.99	34
8.37	2.79	3.87	3.01	4.46	3.24	43.5	4.22	3.8	2.44	1.75	1.7	1.18	0.98	32
9.74	3.32	4.52	3.78	5.53	4.26	89.05	4.86	4.24	2.82	1.89	1.85	1.32	0.98	30
4.79	1.63	1.99	1.49	2.06	1.49	4.57	2.14	2.14	2.1	0.92	0.75	0.48	0.76	24
4.33	1.46	1.88	1.51	2.04	1.54	4.77	1.92	1.86	1.81	0.87	0.7	0.46	0.52	23.3
4.2	1.3	1.79	1.43	1.93	1.48	4.08	1.6	1.71	1.64	0.93	0.73	0.52	0.42	14
3.4	1.07	1.47	1.12	1.51	1.25	2.11	1.1	1.13	1.11	0.83	0.67	0.5	0.38	13
5.31	1.82	1.92	1.6	2.31	1.62	5.98	1.97	2.04	1.93	0.48	0.41	0.37	0.61	29
6.92	2.18	2.4	1.93	3.03	2.24	13.06	2.72	2.7	2.47	0.76	0.64	0.51	0.78	30
5.74	1.95	2.15	1.57	2.51	1.87	7.47	2.38	2.31	2.15	0.71	0.56	0.44	0.7	31
6.11	1.92	2.27	1.68	2.61	1.94	8.7	2.42	2.32	2.12	0.67	0.52	0.42	0.65	31
6.62	2.03	2.38	1.8	2.61	2.05	9.63	2.23	2.13	2	0.72	0.55	0.45	0.67	28
8.12	2.79	3.16	2.54	3.78	2.96	28.38	3.32	3.24	3.04	1.08	1.01	0.67	1.03	38.5
7.8	2.53	2.72	2.07	3.16	2.32	13.8	2.95	2.9	2.62	0.95	0.81	0.6	0.86	35.5
7.45	2.39	2.72	2.17	3.33	2.57	18.98	3.11	3.02	2.77	0.9	0.69	0.55	0.9	39.5
7.88	2.48	2.88	2.55	3.83	2.91	29.36	2.8	2.71	2.47	0.86	0.67	0.58	0.94	44
8.63	3	3.36	2.62	4	3.04	31.76	3.68	3.53	3.21	1.17	1.18	0.81	0.93	34
8.75	3.03	3.71	2.97	4.42	3.24	42.49	4.21	4.03	3.37	1.5	1.29	0.9	1.11	38
7.16	2.44	3.13	2.44	3.57	2.71	23.61	3.3	3.22	2.88	1.54	1.53	1.06	0.92	28
6.94	2.4	3.15	2.4	3.72	2.68	23.93	3.44	3.34	2.91	1.41	1.32	0.84	1	31
6.13	2.37	2.15	1.74	2.53	1.8	7.92	2.5	2.43	2.16	0.55	0.39	0.36	0.65	27
7.82	2.94	2.71	2.27	3.41	2.4	18.58	3.03	2.92	2.51	0.67	0.59	0.51	0.95	38
8.71	2.97	2.98	2.74	3.7	2.7	27.37	3.6	3.55	3.27	0.75	0.61	0.54	0.95	39
5.75	2.18	2.14	1.31	2.52	1.78	5.88	1.86	2.07	2.08	0.81	0.63	0.51	0.68	32
5.36	1.74	2.04	1.39	2.13	1.72	5.09	1.19	1.09	1.07	0.85	0.77	0.55	0.43	16
7.04	2.13	2.43	1.82	2.65	2.15	9.82	1.59	1.55	1.44	1.11	1.01	0.66	0.63	24.5
6.82	2.19	2.25	1.58	2.63	2.07	8.6	1.82	1.86	1.82	1.02	0.88	0.56	0.57	24
5.93	1.96	2.12	1.39	2.35	1.73	5.68	1.74	1.7	1.56	0.84	0.78	0.54	0.56	21
6.23	2.04	2.36	1.68	2.6	1.98	8.66	1.46	1.4	1.2	0.98	0.81	0.61	0.57	23
6.07	2.08	1.89	1.24	2.26	1.77	4.95	1.42	1.45	1.36	0.59	0.44	0.4	0.57	29
6.16	2.08	2.01	1.46	2.54	2.01	7.68	1.18	1.22	1.28	0.64	0.48	0.43	0.56	28
6.22	2.03	2.09	1.45	2.38	1.95	6.73	1.18	1.17	1.3	0.93	0.85	0.54	0.58	24
6.62	2.26	2.05	1.38	2.56	1.89	6.78	1.75	1.75	1.7	0.71	0.57	0.45	0.66	27.7
6.56	2.14	2.25	1.58	2.56	1.98	8.25	1.94	1.92	1.8	1.22	1.14	0.8	0.54	22.3
7.79	2.42	2.76	2	3	2.4	14.4	1.7	1.77	1.71	1.58	1.48	1.05	0.64	23
7.28	2.55	2.56	1.88	2.93	2.22	12.23	2.26	2.19	1.96	1.39	1.19	0.76	0.75	26
6.96	2.43	2.29	1.56	2.82	2.18	9.58	2	1.98	1.9	0.74	0.66	0.5	0.62	30
6.05	2.12	2.11	1.47	2.52	1.98	7.31	1.6	1.6	1.62	0.7	0.54	0.48	0.64	29
7.49	2.77	2.44	1.61	3.07	2.25	11.13	2.44	2.48	2.46	0.92	0.82	0.57	0.72	27
7	2.37	2.49	1.72	3.11	2.39	12.82	2.17	2.39	2.35	0.93	0.82	0.57	0.68	26
6.75	2.48	2.34	1.5	2.79	2.05	8.51	2.11	2.26	2.23	0.77	0.65	0.47	0.66	23.5
6	2.03	2.2	1.44	2.73	2.08	8.18	1.68	2	1.99	0.9	0.71	0.49	0.63	22
8.42	2.74	2.72	1.99	3	2.32	12.04	2.51	2.47	2.27	1.53	1.45	0.92	0.68	20
7.16	2.33	2.49	1.7	2.78	2.13	10.11	2.28	2.25	2.13	1.33	1.2	0.82	0.61	23
7.35	2.33	2.75	1.95	2.98	2.37	13.77	2.08	2.04	1.98	1.39	1.28	0.9	0.63	24
8.15	2.45	2.8	2.09	3.27	2.62	18.06	2.09	2.07	1.94	1.47	1.41	0.89	0.77	24
7.83	2.52	2.47	1.77	3.14	2.33	12.95	2.33	2.3	2.21	0.82	0.68	0.54	0.79	33
5.29	1.98	1.89	1.46	2.23	1.79	5.83	1.49	1.53	1.49	0.62	0.58	0.46	0.56	22
7.76	2.32	2.28	1.7	2.77	2.23	10.5	1.55	1.66	1.6	0.66	0.59	0.49	0.68	28
6.82	2.05	2.33	1.71	2.53	2.18	9.27	1.62	1.53	1.54	1.01	0.96	0.61	0.6	23
7.91	2.38	2.79	2.01	3.1	2.48	15.47	1.72	1.69	1.61	1.2	1.04	0.67	0.7	28
6.84	2.24	2.34	1.62	2.72	2.14	9.43	2.3	2.25	2.1	1.07	0.92	0.56	0.67	28
6.43	2.39	2.7	1.88	3	2.28	12.86	2.54	2.52	2.47	1.15	0.99	0.66	0.6	24
6.75	2.24	2.76	2.06	3.03	2.35	14.61	2.43	2.4	2.31	1.17	1.03	0.7	0.59	23.5
7.7	2.76	2.76	2.34	3.35	2.74	21.6	3.17	3.1	2.68	1.04	1.2	0.73	0.68	21
8.06	2.56	2.45	1.84	3.13	2.36	13.59	0.99	1.37	1.9	1.45	1.19	0.9	0.68	22
8.29	2.96	3	2.38	3.59	2.57	21.9	3.68	3.64	3.2	0.77	0.59	0.55	1.01	38
5.33	2.08	2.03	1.63	2.57	1.6	6.7	2.71	2.76	2.38	0.85	0.83	0.54	0.58	22
6.25	2.43	2.46	2.07	3.17	2.43	15.95	3.65	3.53	3.05	1	0.98	0.67	0.8	24
8.93	3.1	3.27	2.71	4.35	3.22	38.81	4.22	4.14	3.59	2.89	2.74	2.04	1.21	27.6
8.42	2.65	3.13	2.68	4.02	2.93	30.14	3.7	3.59	3.13	2.89	2.76	2	1.18	25
7.64	2.82	2.79	2.29	3.57	2.73	22.98	3.33	3.24	2.85	2.25	2.29	1.52	1.17	26.5
7.12	2.47	2.74	2.29	3.45	2.62	21.24	3.16	3.05	2.54	2.24	2.14	1.46	0.98	23.3
11.21	3.73	4.06	3.14	4.68	3.47	49.56	4.54	4.59	4.3	1.42	1.07	0.83	1.26	50
11.82	3.7	4.43	3.38	4.75	3.55	53.12	4.71	4.68	4.2	1.63	1.15	0.86	1.35	59
9.91	3.66	4.32	3.37	4.83	4.03	65.6	5.32	5.23	4.58	1.84	2.03	1.42	1.42	38
12.03	4.08	4.78	3.82	5.57	4.36	94.86	5.54	5.41	4.89	1.74	1.74	1.24	1.4	48.3
11.64	3.85	4.73	3.89	5.67	4.49	100.74	5.01	4.74	4.08	1.81	1.82	1.29	1.43	50.3
9.53	3.45	4.08	3.02	4.55	3.66	51.49	4.62	4.51	3.9	1.46	1.37	1	1.22	41.8
9.5	3.24	3.73	2.91	4.43	3.37	43.44	4.18	4.03	3.26	1.36	1.4	0.94	1.17	43
9.71	3.41	4.11	3.46	5.13	3.9	72.13	4.73	4.58	4.11	1.48	1.42	1.01	1.25	45
9.85	3.54	4.13	3.75	5.49	4.1	85	4.88	4.59	3.92	1.53	1.49	1	1.3	45.7
11.59	4.35	4.94	3.92	5.74	4.53	102.49	6.09	5.88	5.15	1.76	1.64	1.2	1.37	42.8
10.62	3.54	4.4	3.76	5.2	4.27	83.49	5.27	5.12	4.17	1.56	1.49	1.06	1.22	41
5.9	1.82	2.04	1.39	2.27	1.91	6.03	1.79	1.89	1.8	1.01	0.84	0.57	0.53	19
5.99	1.84	2.15	1.52	2.54	2.04	7.97	1.84	1.94	1.87	1.12	0.95	0.65	0.54	21
4.84	1.49	1.77	1.18	1.93	1.57	3.59	1.4	1.47	1.44	0.87	0.67	0.46	0.49	18.5
5.49	1.69	2.03	1.42	2.35	1.94	6.48	1.25	1.33	1.35	1.02	0.85	0.61	0.52	20
5.1	1.53	1.92	1.31	2.21	1.76	5.07	1.14	1.25	1.24	0.96	0.8	0.55	0.52	19
5.59	1.75	2.04	1.37	2.31	1.83	5.93	1.68	1.83	1.76	1.01	0.83	0.55	0.55	21
5.92	1.72	2.13	1.47	2.47	2	7.26	1.4	1.6	1.57	1	0.93	0.62	0.55	19
5.49	1.58	1.95	1.25	2.22	1.74	4.8	1.43	1.5	1.45	0.96	0.87	0.6	0.55	21
5.19	1.55	1.89	1.27	2.16	1.8	4.91	1.13	1.06	1.17	0.93	0.84	0.57	0.52	19.5
5.91	1.87	2.12	1.53	2.59	2.11	8.47	1.31	1.31	1.37	1.1	0.95	0.65	0.53	19.4
5.36	1.58	1.92	1.28	2.1	1.74	4.67	1.48	1.62	1.59	0.95	0.73	0.53	0.51	18.5
6.38	2	2.28	1.6	2.57	2.04	8.08	1.88	1.92	1.85	1.15	0.97	0.71	0.56	23
5.58	1.89	2.05	1.43	2.33	1.9	6.41	1.94	2.02	1.97	0.98	0.81	0.57	0.51	20.8
5.33	1.78	2.04	1.4	2.32	1.94	6.34	1.53	1.58	1.52	0.97	0.85	0.58	0.51	19.7
9.58	3.34	3.84	3.29	5.01	3.93	64.82	4.21	4.09	3.48	1.75	1.77	1.2	1.41	40
11.74	4.09	4.27	3.69	5.6	4.45	91.95	5.05	5.05	4.5	1.92	1.95	1.3	1.54	41
9.22	3.08	3.84	2.95	4.77	3.77	55.12	3.59	3.56	3.15	1.58	1.71	1.18	1.2	33
11.3	3.82	4.06	3.78	5.59	4.42	96.29	5.67	5.54	5.05	1.85	1.81	1.15	1.57	30.5
10.98	3.62	3.9	3.73	5.41	4.32	89.63	4.86	4.88	4.39	1.8	1.82	1.16	1.5	29.8
10.96	3.78	4	3.32	5.2	4.15	71.65	4.82	4.75	4.03	1.8	1.87	1.23	1.52	40
10.47	3.45	4	3.5	5.37	4.21	79.84	4.44	4.31	3.62	1.96	1.91	1.24	1.51	38.7
10.99	3.9	4.05	4.17	5.48	4.36	99.66	4.22	3.83	3.3	2.15	2.34	1.65	1.61	41
9.42	3.32	3.6	3.11	4.55	3.75	53.58	3.35	3.02	2.6	1.84	1.71	1.16	1.43	47
6.58	1.85	1.63	1.39	2.21	1.99	6.13	1.25	1.85	1.81	0.64	0.62	0.42	0.49	18
5.35	1.53	1.46	1.05	1.85	1.58	3.07	0.65	1.14	1.15	0.68	0.66	0.45	0.44	15
4.84	1.54	1.37	1.02	1.63	1.47	2.44	0.79	1.27	1.26	0.51	0.47	0.34	0.41	13
6.88	2.31	2.03	1.69	2.54	2.17	9.25	1.17	1.57	1.53	0.82	0.81	0.54	0.53	17
5.45	1.73	1.45	1.19	1.91	1.68	3.82	1.27	1.72	1.62	0.54	0.53	0.35	0.45	16.3
5.54	1.67	1.6	1.22	1.89	1.7	3.91	0.63	1.21	1.21	0.61	0.58	0.39	0.43	15
5.04	1.47	1.23	0.93	1.64	1.52	2.35	0.7	1.46	1.46	0.51	0.52	0.34	0.38	12.7
4.5	1.2	1.12	0.78	1.31	1.23	1.26	0.43	0.98	1.02	0.43	0.39	0.32	0.31	12
5.22	1.51	1.45	1.27	1.7	1.53	3.3	0.62	1.2	1.2	0.57	0.6	0.38	0.37	14
4.64	1.37	1.36	0.97	1.77	1.53	2.63	0.63	1.07	1.07	0.61	0.55	0.38	0.42	15
8.61	2.61	3.36	2.49	3.96	3.1	30.57	2.92	2.68	2.7	1.33	1.16	0.8	0.87	29
13.68	4.55	5.27	4.26	6.44	5.17	144.51	6.25	6.11	5.16	1.98	1.78	1.15	1.73	47
11.39	3.7	4.97	4.01	6.37	4.86	124.14	5.91	5.51	4.54	1.91	1.76	1.15	1.65	44
11.04	3.5	4.2	3.14	4.97	3.92	61.17	4.42	4.23	3.74	1.55	1.29	0.84	1.24	39
10.38	3.23	4.2	3.28	4.98	3.95	64.49	3.95	4.05	3.79	1.7	1.37	0.96	0.99	24
5.96	2.03	2.13	1.74	2.63	1.88	8.68	1.79	1.77	1.67	1.09	0.98	0.71	0.61	23
5.35	1.75	1.97	1.56	2.31	1.67	5.33	1.47	1.21	1.31	1.02	0.95	0.65	0.56	21.5
8.77	2.8	3.22	2.62	4.02	2.8	29.49	2.93	2.9	2.23	1.01	0.76	0.65	1.04	46
8.98	2.87	3.26	2.55	3.93	2.9	30	3.74	3.7	3.35	1.02	0.81	0.65	1.06	52
9.27	2.89	3.43	2.81	4.29	3.22	39.17	3.65	3.63	3.23	1.08	0.84	0.65	1.09	51.5
8.2	2.65	2.86	2.23	3.49	2.63	20.85	3.21	3.17	2.87	0.93	0.72	0.58	0.99	46.7
8.44	2.72	3.06	2.53	3.93	2.92	29.02	3.14	3.08	2.78	0.99	0.79	0.63	1.1	52.5
10.09	3.14	3.57	2.84	4.47	3.27	42.33	4.16	4.11	3.78	1.2	0.96	0.77	1.24	52.6
10.02	3.14	3.6	3.04	3.92	2.89	31.81	3.98	3.93	3.51	1.21	1	0.77	1.27	51
9.97	3.16	3.8	2.99	4.38	3.18	41.65	3.9	3.81	3.37	1.18	1.02	0.75	1.22	50
9.82	3.28	3.61	2.76	4.22	3.17	37.05	4.11	4.03	3.6	1.19	0.97	0.79	1.27	55.3
9.6	3.14	3.55	2.88	4.29	3.25	40.4	3.86	3.8	3.42	1.17	1	0.76	1.26	53
12.79	4.47	4.69	4.23	6.27	4.98	135.5	5.85	5.61	5	1.65	1.43	0.94	1.78	47
9.97	3.46	3.94	3.55	5.34	4.14	79.31	4.44	4.14	3.7	1.38	1.24	0.8	1.54	42.4
11.83	4.12	4.4	4	6	4.72	113.28	5.41	5.33	5	1.58	1.36	0.88	1.7	48
9.24	3.09	3.66	3.22	4.99	3.54	56.97	3.88	3.64	3.39	1.32	1.13	0.76	1.47	46
9.87	3.39	3.44	2.87	4.69	3.49	46.98	3.7	3.65	3.46	1.19	1.08	0.73	1.38	37
7.69	2.53	2.76	2.34	3.57	2.75	23.06	2.33	2.46	2.36	0.94	0.83	0.54	1.04	36
8.02	2.56	2.85	2.4	3.97	2.95	28.11	2.18	2.44	2.25	1.09	0.93	0.61	1.08	36
9.14	2.96	2.86	2.42	3.83	2.81	26.1	3.01	3.1	2.95	0.91	0.8	0.62	1.09	33
11	3.62	4.08	3.72	5.6	4.2	87.49	5	4.92	4.67	1.52	1.2	0.82	1.56	46
12.68	4.11	4.19	3.8	5.8	4.62	102.2	5.59	5.47	4.86	1.5	1.29	0.91	1.68	45.8
10.32	3.63	4.14	3.68	5.57	4.34	88.86	4.62	4.44	3.95	1.45	1.36	0.85	1.66	45.3
5.68	1.63	1.83	1.24	2.23	1.75	4.84	1.4	1.43	1.38	1.03	0.69	0.51	0.64	26
4.91	1.55	1.6	1.17	1.99	1.59	3.74	1.82	1.83	1.73	0.9	0.76	0.47	0.5	21
4.44	1.33	1.51	1.05	1.78	1.47	2.74	1.5	1.5	1.42	0.89	0.6	0.43	0.43	20
6.18	1.98	1.96	1.45	2.4	1.93	6.73	2.3	2.37	2.28	1.08	0.72	0.54	0.6	24.8
5.62	1.77	1.87	1.34	2.25	1.85	5.58	1.57	1.64	1.55	1.02	0.74	0.54	0.56	24.3
5.65	1.89	2.07	1.4	2.36	1.87	6.18	1.94	2	1.95	0.96	0.87	0.57	0.5	18
4.34	1.82	1.83	1.31	2.02	1.43	3.78	1.92	1.89	1.75	0.46	0.43	0.33	0.53	28
5.04	1.91	1.88	1.44	2.14	1.53	4.71	1.89	1.88	1.7	0.43	0.37	0.34	0.63	31
8.01	2.68	3.3	2.98	4.78	3.26	46.44	3.03	2.79	2.08	1.7	1.52	1.01	0.94	30
7.84	2.74	3.05	2.41	4.25	2.96	32.84	2.98	2.9	2.47	1.64	1.47	1.09	0.9	31
7.06	2.44	2.86	2.31	3.46	2.52	18.66	2.57	2.43	1.88	1.38	1.3	0.84	0.75	28
12.23	4.39	4.62	3.69	4.91	4.39	70.33	6.43	6.26	5.28	2.39	2.35	1.52	1.78	31
12.18	4.3	4.55	4.06	5.42	4.68	100.74	6.95	6.71	5.48	2.38	2.37	1.56	1.68	30
14.5	5.14	5.4	4.49	6.6	5.05	148.84	7.17	7.13	6.46	2.36	2.22	1.35	1.73	34.4
10.27	3.36	3.28	2.49	3.8	2.96	28.03	3.58	3.56	3.56	0.96	0.74	0.64	1.23	53
9.7	3.21	3.4	2.64	4.2	3.16	35.04	3.44	3.44	3.28	0.94	0.8	0.62	1.16	60
4.69	1.26	1.64	1.22	1.91	1.54	3.59	1.63	1.64	1.57	0.95	0.63	0.5	0.47	19
8.14	3.03	3.31	2.88	3.78	3.2	34.9	2.67	2.86	2.86	0.9	0.63	0.62	1.1	44
7.14	2.27	2.62	2.17	3.58	2.63	20.43	1.83	1.87	1.87	0.78	0.6	0.46	0.89	38.5
6.22	2.11	2.55	1.88	3.08	2.27	13.14	2.08	2.11	2.03	0.74	0.58	0.48	0.87	40.5
7.73	2.63	3.07	2.38	3.93	2.96	27.58	2.77	2.76	2.61	0.89	0.73	0.56	0.99	47.5
9.75	3.19	3.7	3.09	4.92	3.65	55.92	3.02	2.97	2.74	1.07	0.86	0.65	1.2	52.3
7.28	2.48	2.79	2.14	3.46	2.61	20.09	2.47	2.53	2.42	0.82	0.63	0.53	0.98	40.8
7.77	2.56	2.76	2.3	3.72	2.68	23.03	2.06	2.09	1.97	0.83	0.61	0.5	0.97	38.5
9.11	3.14	3.45	3.03	4.92	3.65	54.41	3.11	3.1	2.9	1.34	1.11	0.76	1.4	52
6.86	2.39	2.77	2.14	3.57	2.6	19.86	2.53	2.51	2.34	0.91	0.67	0.53	1.08	45
7.1	2.33	2.72	2.18	3.61	2.65	20.79	1.96	2.08	1.95	0.82	0.63	0.52	0.96	40.3
7.46	2.63	2.97	2.46	3.99	2.94	28.86	3.02	3.1	2.9	0.88	0.72	0.52	0.96	40
6.12	2.07	2.49	1.77	3.05	2.24	12.05	2.01	2.11	2.04	0.75	0.56	0.46	0.9	37
7.16	2.29	2.61	2.16	3.37	2.6	18.93	2	2.03	1.85	0.76	0.63	0.5	0.93	42
6.25	2.11	2.47	1.88	3.05	2.26	13.73	1.95	2	1.91	0.72	0.56	0.45	0.83	39.3
7.03	2.32	2.67	2.16	3.62	2.59	20.21	1.94	1.96	1.86	0.79	0.6	0.48	0.9	39.5
7.86	2.72	3.14	2.46	4.2	2.85	30.16	2.71	2.71	2.55	0.95	0.69	0.54	1.03	46.7
8.11	2.67	2.93	2.18	3.82	2.72	23.88	2.21	2.3	2.25	0.86	0.66	0.53	1.02	44.5
7.58	2.55	2.91	2.18	3.69	2.68	21.56	2.32	2.41	2.34	0.89	0.65	0.55	1.16	41
6.86	2.07	2.35	1.85	3.09	2.27	12.93	1.6	1.82	1.75	0.71	0.5	0.42	0.8	35.5
7.18	2.49	2.64	1.96	3.24	2.52	16	2.34	2.36	2.19	0.82	0.59	0.5	0.94	39
